"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3848 (1137337) [Titan Krios G3i (3.1)]","3848 (1137337) [Titan Krios G3i (3.1)]"
"","Subsystem:","Optics","Main Vacuum"
"","Component:","Magnifications","Column Valves States"
"","Parameter:","Nominal Magnification","Column Valves States"
"","Unit:","",""
"","Type:","Float","Int"
"Date:","Time:"
"06/18/2021","13:43:28.401","-1","Unknown (0)"
"06/18/2021","13:44:12.425","46974.741",""
"06/18/2021","13:44:22.019","","Close (1)"
"06/18/2021","13:47:43.459","80742.017",""
"06/18/2021","13:49:36.192","1527.128",""
"06/18/2021","14:20:57.369","","Open (2)"
"06/18/2021","14:21:46.245","2259.761",""
"06/18/2021","14:22:58.755","3638.589",""
"06/18/2021","14:24:01.635","2259.761",""
"06/18/2021","14:24:42.361","3638.589",""
"06/18/2021","14:28:35.386","2259.761",""
"06/18/2021","14:29:12.156","3638.589",""
"06/18/2021","14:30:13.399","1527.128",""
"06/18/2021","14:38:41.596","102611.634",""
"06/18/2021","14:38:53.258","","Close (1)"
"06/18/2021","14:40:13.103","2259.761",""
"06/18/2021","14:40:43.766","","Open (2)"
"06/18/2021","14:43:02.239","3638.589",""
"06/18/2021","14:43:42.456","2259.761",""
"06/18/2021","14:44:07.284","3638.589",""
"06/18/2021","14:48:16.916","102611.634",""
"06/18/2021","15:04:29.898","3638.589",""
"06/18/2021","15:04:46.411","102611.634",""
"06/18/2021","15:07:36.833","2259.761",""
"06/18/2021","15:08:27.257","102611.634",""
"06/18/2021","15:24:39.815","2259.761",""
"06/18/2021","15:24:46.597","","Open (2)"
"06/18/2021","15:25:04.840","","Close (1)"
"06/18/2021","15:25:42.327","3638.589",""
"06/18/2021","15:26:26.343","2259.761",""
"06/18/2021","15:26:48.150","3638.589",""
"06/18/2021","15:27:56.598","102611.634",""
"06/18/2021","15:29:15.495","2259.761",""
"06/18/2021","15:30:13.963","3638.589",""
"06/18/2021","15:30:57.934","2259.761",""
"06/18/2021","15:31:19.364","3638.589",""
"06/18/2021","15:33:04.612","102611.634",""
"06/18/2021","15:34:17.448","2259.761",""
"06/18/2021","15:35:14.389","3638.589",""
"06/18/2021","15:35:48.896","2259.761",""
