"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3846 (1137337) [Titan Krios G3i (3.1)]"
"","Subsystem:","Main Vacuum"
"","Component:","Column Valves States"
"","Parameter:","Column Valves States"
"","Unit:",""
"","Type:","Int"
"Date:","Time:"
"06/13/2021","23:26:27.258","Open (2)"
"06/14/2021","11:26:27.259","Open (2)"
"06/14/2021","23:26:27.260","Open (2)"
"06/15/2021","11:26:27.261","Open (2)"
"06/15/2021","23:26:27.262","Open (2)"
"06/16/2021","10:24:43.066","Close (1)"
"06/16/2021","11:01:49.831","Open (2)"
"06/16/2021","12:36:37.450","Close (1)"
"06/16/2021","12:57:02.368","Open (2)"
"06/16/2021","13:20:52.119","Close (1)"
"06/16/2021","13:38:43.970","Open (2)"
"06/16/2021","13:53:18.048","Close (1)"
"06/16/2021","14:04:15.131","Open (2)"
"06/16/2021","14:28:23.127","Close (1)"
"06/16/2021","14:34:52.499","Open (2)"
"06/17/2021","02:34:52.500","Open (2)"
"06/17/2021","14:34:52.501","Open (2)"
"06/18/2021","02:34:52.502","Open (2)"
"06/18/2021","10:41:37.882","Close (1)"
"06/18/2021","10:48:10.303","Open (2)"
"06/18/2021","11:02:15.988","Close (1)"
"06/18/2021","11:10:33.865","Open (2)"
"06/18/2021","23:10:33.865","Open (2)"
"06/19/2021","11:10:33.866","Open (2)"
"06/19/2021","23:10:33.867","Open (2)"
"06/20/2021","11:10:33.868","Open (2)"
"06/20/2021","15:48:58.683","Close (1)"
"06/20/2021","15:54:09.994","Open (2)"
"06/20/2021","15:54:35.333","Close (1)"
"06/21/2021","03:54:35.334","Close (1)"
"06/21/2021","07:21:27.605","Open (2)"
"06/21/2021","07:39:37.660","Close (1)"
"06/21/2021","08:42:01.373","Open (2)"
"06/21/2021","08:43:52.910","Close (1)"
"06/21/2021","08:44:32.469","Open (2)"
"06/21/2021","09:05:57.215","Close (1)"
"06/21/2021","10:56:01.455","Open (2)"
"06/21/2021","11:50:51.971","Close (1)"
"06/21/2021","12:03:32.491","Open (2)"
"06/21/2021","12:14:03.203","Close (1)"
"06/21/2021","12:48:41.947","Open (2)"
"06/22/2021","00:48:41.948","Open (2)"
"06/22/2021","05:56:58.552","Close (1)"
"06/22/2021","09:38:24.229","Open (2)"
"06/22/2021","09:51:48.340","Close (1)"
"06/22/2021","09:54:41.740","Open (2)"
"06/22/2021","10:20:21.011","Close (1)"
"06/22/2021","10:26:14.889","Open (2)"
"06/22/2021","10:37:01.828","Close (1)"
"06/22/2021","10:39:32.912","Open (2)"
"06/22/2021","12:24:44.084","Close (1)"
"06/22/2021","12:30:34.934","Open (2)"
"06/22/2021","12:40:40.308","Close (1)"
"06/22/2021","12:42:09.540","Open (2)"
"06/23/2021","00:42:09.541","Open (2)"
"06/23/2021","12:42:09.542","Open (2)"
"06/24/2021","00:42:09.543","Open (2)"
"06/24/2021","10:03:36.583","Close (1)"
"06/24/2021","10:09:50.751","Open (2)"
"06/24/2021","10:21:01.014","Close (1)"
"06/24/2021","10:23:46.293","Open (2)"
"06/24/2021","12:05:03.315","Close (1)"
"06/24/2021","12:11:46.908","Open (2)"
"06/24/2021","12:21:13.733","Close (1)"
"06/24/2021","12:23:20.501","Open (2)"
"06/24/2021","12:51:55.167","Close (1)"
"06/24/2021","12:57:30.804","Open (2)"
"06/24/2021","13:06:22.144","Close (1)"
"06/24/2021","13:07:57.509","Open (2)"
"06/24/2021","13:26:38.969","Close (1)"
"06/24/2021","13:32:25.772","Open (2)"
"06/24/2021","13:41:09.001","Close (1)"
"06/24/2021","13:43:09.667","Open (2)"
"06/25/2021","01:43:09.668","Open (2)"
"06/25/2021","09:28:43.431","Close (1)"
"06/25/2021","09:34:32.246","Open (2)"
"06/25/2021","09:47:08.707","Close (1)"
"06/25/2021","09:50:27.452","Open (2)"
"06/25/2021","11:16:19.665","Close (1)"
"06/25/2021","13:00:01.656","Open (2)"
"06/25/2021","13:10:26.284","Close (1)"
"06/25/2021","13:13:35.904","Open (2)"
"06/25/2021","14:11:23.858","Close (1)"
"06/25/2021","14:16:48.354","Open (2)"
"06/25/2021","14:27:57.626","Close (1)"
"06/25/2021","14:35:43.042","Open (2)"
"06/25/2021","14:46:20.850","Close (1)"
"06/25/2021","14:47:32.846","Open (2)"
"06/26/2021","02:47:32.848","Open (2)"
"06/26/2021","14:47:32.849","Open (2)"
"06/27/2021","02:47:32.850","Open (2)"
"06/27/2021","14:47:32.850","Open (2)"
"06/28/2021","02:47:32.851","Open (2)"
"06/28/2021","08:48:18.387","Close (1)"
"06/28/2021","09:30:19.212","Open (2)"
"06/28/2021","09:43:36.217","Close (1)"
"06/28/2021","09:44:04.611","Open (2)"
"06/28/2021","10:21:41.791","Close (1)"
"06/28/2021","10:32:33.792","Open (2)"
"06/28/2021","12:28:19.753","Close (1)"
"06/28/2021","12:37:17.176","Open (2)"
"06/28/2021","12:47:20.529","Close (1)"
"06/28/2021","13:28:34.738","Open (2)"
"06/28/2021","13:49:28.031","Close (1)"
"06/28/2021","13:55:40.185","Open (2)"
"06/28/2021","14:05:58.736","Close (1)"
