"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","9953149 (1139918) [Glacios]","9953149 (1139918) [Glacios]"
"","Subsystem:","Optics","Main Vacuum"
"","Component:","Magnifications","Column Valves"
"","Parameter:","Nominal Magnification","Column Valves State"
"","Unit:","",""
"","Type:","Float","Int"
"Date:","Time:"
"06/13/2021","18:45:11.861","","Close (1)"
"06/13/2021","19:45:11.862","","Close (1)"
"06/13/2021","20:45:11.862","","Close (1)"
"06/13/2021","21:45:11.863","","Close (1)"
"06/13/2021","22:45:11.864","","Close (1)"
"06/13/2021","23:19:15.914","","Unknown (0)"
"06/13/2021","23:44:58.813","5274.637",""
"06/14/2021","00:19:15.915","","Unknown (0)"
"06/14/2021","01:19:15.916","","Unknown (0)"
"06/14/2021","02:19:15.917","","Unknown (0)"
"06/14/2021","03:19:15.918","","Unknown (0)"
"06/14/2021","04:19:15.919","","Unknown (0)"
"06/14/2021","05:19:15.920","","Unknown (0)"
"06/14/2021","06:19:15.921","","Unknown (0)"
"06/14/2021","06:32:07.175","","Close (1)"
"06/14/2021","07:32:07.176","","Close (1)"
"06/14/2021","08:32:07.176","","Close (1)"
"06/14/2021","09:16:33.575","-1",""
"06/14/2021","09:16:57.154","5274.637",""
"06/14/2021","09:32:07.177","","Close (1)"
"06/14/2021","10:20:43.426","","Unknown (0)"
"06/14/2021","10:20:43.636","","Open (2)"
"06/14/2021","10:23:18.050","2605.004",""
"06/14/2021","10:26:37.567","3352.767",""
"06/14/2021","10:26:37.673","4263.839",""
"06/14/2021","10:26:37.775","5274.637",""
"06/14/2021","10:26:38.284","6720.537",""
"06/14/2021","10:26:41.766","45257.381",""
"06/14/2021","10:34:51.525","35535.211",""
"06/14/2021","10:34:51.624","22102.332",""
"06/14/2021","10:34:51.738","13706.879",""
"06/14/2021","10:34:51.868","6720.537",""
"06/14/2021","10:34:51.994","4263.839",""
"06/14/2021","10:34:52.257","3352.767",""
"06/14/2021","10:34:52.374","1277.749",""
"06/14/2021","10:34:52.595","942.299",""
"06/14/2021","10:34:52.692","208.904",""
"06/14/2021","10:34:56.207","380.487",""
"06/14/2021","10:35:28.877","512.729",""
"06/14/2021","10:35:28.956","698.309",""
"06/14/2021","10:35:29.048","942.299",""
"06/14/2021","10:35:29.128","1724.308",""
"06/14/2021","10:35:29.234","1245.437",""
"06/14/2021","10:35:32.836","22102.332",""
"06/14/2021","10:35:36.664","13706.879",""
"06/14/2021","10:38:43.997","","Unknown (0)"
"06/14/2021","10:38:45.133","","Close (1)"
"06/14/2021","10:38:45.586","-1",""
"06/14/2021","10:38:45.593","13706.879",""
"06/14/2021","10:41:10.575","-1",""
"06/14/2021","10:41:10.583","13706.879",""
"06/14/2021","10:42:46.451","","Unknown (0)"
"06/14/2021","10:42:47.136","","Open (2)"
"06/14/2021","11:21:11.992","","Unknown (0)"
"06/14/2021","11:21:13.137","","Close (1)"
"06/14/2021","11:27:17.277","","Unknown (0)"
"06/14/2021","11:27:17.643","","Open (2)"
"06/14/2021","11:27:20.684","208.904",""
"06/14/2021","11:27:40.250","2605.004",""
"06/14/2021","11:28:27.696","6720.537",""
"06/14/2021","11:29:19.227","117715.975",""
"06/14/2021","11:37:22.478","208.904",""
"06/14/2021","11:37:42.855","6720.537",""
"06/14/2021","11:37:57.510","117715.975",""
"06/14/2021","11:38:08.304","","Unknown (0)"
"06/14/2021","11:38:09.139","","Close (1)"
"06/14/2021","11:44:21.159","","Unknown (0)"
"06/14/2021","11:44:21.644","","Open (2)"
"06/14/2021","11:48:48.082","208.904",""
"06/14/2021","11:49:15.956","-1",""
"06/14/2021","11:49:29.216","208.904",""
"06/14/2021","11:49:33.304","-1",""
"06/14/2021","11:49:37.395","208.904",""
"06/14/2021","11:49:41.542","117715.975",""
"06/14/2021","11:49:47.351","-1",""
"06/14/2021","11:50:26.045","117715.975",""
"06/14/2021","11:50:30.414","2605.004",""
"06/14/2021","11:52:11.186","6720.537",""
"06/14/2021","11:52:55.477","2605.004",""
"06/14/2021","11:53:14.572","6720.537",""
"06/14/2021","11:54:34.425","117715.975",""
"06/14/2021","11:57:15.027","","Unknown (0)"
"06/14/2021","11:57:16.141","","Close (1)"
"06/14/2021","12:01:01.793","208.904",""
"06/14/2021","12:02:23.086","","Unknown (0)"
"06/14/2021","12:02:23.643","","Open (2)"
"06/14/2021","12:02:56.024","2605.004",""
"06/14/2021","12:03:40.096","6720.537",""
"06/14/2021","12:06:27.508","208.904",""
"06/14/2021","12:16:11.745","2605.004",""
"06/14/2021","12:20:13.228","6720.537",""
"06/14/2021","12:20:57.517","2605.004",""
"06/14/2021","12:21:17.023","6720.537",""
"06/14/2021","12:23:14.014","117715.975",""
"06/14/2021","12:25:42.440","6720.537",""
"06/14/2021","12:27:48.047","117715.975",""
"06/14/2021","12:30:09.438","2605.004",""
"06/14/2021","12:31:14.776","6720.537",""
"06/14/2021","12:31:59.800","2605.004",""
"06/14/2021","12:32:19.581","6720.537",""
"06/14/2021","12:35:12.952","2605.004",""
"06/14/2021","12:36:19.724","6720.537",""
"06/14/2021","12:37:04.050","2605.004",""
"06/14/2021","12:37:23.779","6720.537",""
"06/14/2021","12:42:24.421","117715.975",""
"06/14/2021","12:44:32.361","6720.537",""
"06/14/2021","12:47:43.948","117715.975",""
"06/14/2021","12:49:42.598","2605.004",""
"06/14/2021","12:50:47.236","6720.537",""
"06/14/2021","12:51:32.085","2605.004",""
"06/14/2021","12:51:51.565","6720.537",""
"06/14/2021","12:53:18.756","2605.004",""
"06/14/2021","12:54:25.852","6720.537",""
"06/14/2021","12:55:10.584","2605.004",""
"06/14/2021","12:55:30.847","6720.537",""
"06/14/2021","12:56:09.049","117715.975",""
"06/14/2021","12:58:55.114","","Unknown (0)"
"06/14/2021","12:58:56.143","","Close (1)"
"06/14/2021","13:03:29.713","","Unknown (0)"
"06/14/2021","13:03:30.148","","Open (2)"
"06/14/2021","13:03:37.336","208.904",""
"06/14/2021","13:04:06.135","2605.004",""
"06/14/2021","13:04:47.112","6720.537",""
"06/14/2021","13:07:02.855","208.904",""
"06/14/2021","13:18:00.185","2605.004",""
"06/14/2021","13:23:22.991","6720.537",""
"06/14/2021","13:24:07.123","2605.004",""
"06/14/2021","13:24:26.853","6720.537",""
"06/14/2021","13:25:34.310","117715.975",""
"06/14/2021","13:27:48.330","2605.004",""
"06/14/2021","13:28:52.842","6720.537",""
"06/14/2021","13:29:37.025","2605.004",""
"06/14/2021","13:29:56.774","6720.537",""
"06/14/2021","13:32:55.208","117715.975",""
"06/14/2021","13:35:03.120","6720.537",""
"06/14/2021","13:37:52.753","117715.975",""
"06/14/2021","13:40:07.190","2605.004",""
"06/14/2021","13:41:08.389","6720.537",""
"06/14/2021","13:41:52.184","2605.004",""
"06/14/2021","13:42:11.998","6720.537",""
"06/14/2021","13:46:02.036","117715.975",""
"06/14/2021","13:48:16.661","2605.004",""
"06/14/2021","13:49:17.941","6720.537",""
"06/14/2021","13:50:01.989","2605.004",""
"06/14/2021","13:50:22.172","6720.537",""
"06/14/2021","13:51:04.131","117715.975",""
"06/14/2021","13:53:18.644","2605.004",""
"06/14/2021","13:54:21.681","6720.537",""
"06/14/2021","13:55:04.332","2605.004",""
"06/14/2021","13:55:23.471","6720.537",""
"06/14/2021","13:55:52.324","117715.975",""
"06/14/2021","13:59:03.950","","Unknown (0)"
"06/14/2021","13:59:05.148","","Close (1)"
"06/14/2021","14:04:01.242","208.904",""
"06/14/2021","14:04:02.324","","Unknown (0)"
"06/14/2021","14:04:02.654","","Open (2)"
"06/14/2021","14:04:53.562","6720.537",""
"06/14/2021","14:05:19.092","117715.975",""
"06/14/2021","14:05:43.100","6720.537",""
"06/14/2021","14:05:55.187","117715.975",""
"06/14/2021","14:06:18.455","","Unknown (0)"
"06/14/2021","14:06:19.648","","Close (1)"
"06/14/2021","14:08:21.143","","Unknown (0)"
"06/14/2021","14:08:21.653","","Open (2)"
"06/14/2021","14:12:22.455","208.904",""
"06/14/2021","14:15:48.725","6720.537",""
"06/14/2021","14:16:09.046","117715.975",""
"06/14/2021","14:16:21.882","","Unknown (0)"
"06/14/2021","14:16:22.649","","Close (1)"
"06/14/2021","14:18:35.139","","Unknown (0)"
"06/14/2021","14:18:35.652","","Open (2)"
"06/14/2021","14:21:42.774","208.904",""
"06/14/2021","14:22:40.197","2605.004",""
"06/14/2021","14:23:20.060","6720.537",""
"06/14/2021","14:24:29.592","117715.975",""
"06/14/2021","14:25:13.788","208.904",""
"06/14/2021","14:35:28.979","2605.004",""
"06/14/2021","14:39:23.479","6720.537",""
"06/14/2021","14:40:06.136","2605.004",""
"06/14/2021","14:40:25.533","6720.537",""
"06/14/2021","14:51:10.375","","Unknown (0)"
"06/14/2021","14:51:11.151","","Close (1)"
"06/14/2021","15:03:09.450","117715.975",""
"06/14/2021","15:03:41.434","","Unknown (0)"
"06/14/2021","15:03:41.658","","Open (2)"
"06/14/2021","15:06:00.916","2605.004",""
"06/14/2021","15:07:04.107","6720.537",""
"06/14/2021","15:07:45.849","2605.004",""
"06/14/2021","15:08:05.525","6720.537",""
"06/14/2021","15:08:59.647","117715.975",""
"06/14/2021","15:11:48.273","2605.004",""
"06/14/2021","15:12:48.557","6720.537",""
"06/14/2021","15:13:31.858","2605.004",""
"06/14/2021","15:13:51.909","6720.537",""
"06/14/2021","15:17:07.322","117715.975",""
"06/14/2021","15:19:37.699","2605.004",""
"06/14/2021","15:20:39.629","6720.537",""
"06/14/2021","15:21:22.475","2605.004",""
"06/14/2021","15:21:42.300","6720.537",""
"06/14/2021","15:22:43.574","117715.975",""
"06/14/2021","15:26:59.084","","Unknown (0)"
"06/14/2021","15:27:00.155","","Close (1)"
"06/14/2021","15:33:21.856","","Unknown (0)"
"06/14/2021","15:33:22.161","","Open (2)"
"06/14/2021","15:33:22.462","208.904",""
"06/14/2021","15:33:38.632","2605.004",""
"06/14/2021","15:34:21.709","6720.537",""
"06/14/2021","15:35:59.041","208.904",""
"06/14/2021","15:45:52.295","2605.004",""
"06/14/2021","15:49:41.278","6720.537",""
"06/14/2021","15:50:24.287","2605.004",""
"06/14/2021","15:50:44.253","6720.537",""
"06/14/2021","15:52:49.481","117715.975",""
"06/14/2021","15:55:38.930","2605.004",""
"06/14/2021","15:56:43.071","6720.537",""
"06/14/2021","15:57:26.626","2605.004",""
"06/14/2021","15:57:46.876","6720.537",""
"06/14/2021","15:58:04.918","117715.975",""
"06/14/2021","16:00:15.893","2605.004",""
"06/14/2021","16:01:18.785","6720.537",""
"06/14/2021","16:02:02.607","2605.004",""
"06/14/2021","16:02:22.685","6720.537",""
"06/14/2021","16:02:40.713","117715.975",""
"06/14/2021","16:09:21.086","","Unknown (0)"
"06/14/2021","16:09:22.159","","Close (1)"
"06/14/2021","16:12:34.254","208.904",""
"06/14/2021","16:16:24.643","","Unknown (0)"
"06/14/2021","16:16:25.162","","Open (2)"
"06/14/2021","16:16:35.873","2605.004",""
"06/14/2021","16:17:17.731","6720.537",""
"06/14/2021","16:18:19.250","208.904",""
"06/14/2021","16:26:55.292","2605.004",""
"06/14/2021","16:30:44.084","6720.537",""
"06/14/2021","16:31:27.234","2605.004",""
"06/14/2021","16:31:47.405","6720.537",""
"06/14/2021","16:32:06.185","117715.975",""
"06/14/2021","16:33:38.075","2605.004",""
"06/14/2021","16:34:41.500","6720.537",""
"06/14/2021","16:35:24.728","2605.004",""
"06/14/2021","16:35:44.781","6720.537",""
"06/14/2021","16:36:03.424","117715.975",""
"06/14/2021","16:38:14.193","2605.004",""
"06/14/2021","16:39:15.005","6720.537",""
"06/14/2021","16:39:58.053","2605.004",""
"06/14/2021","16:40:18.109","6720.537",""
"06/14/2021","16:40:36.681","117715.975",""
"06/14/2021","16:43:43.779","","Unknown (0)"
"06/14/2021","16:43:44.662","","Close (1)"
"06/14/2021","16:50:00.381","","Unknown (0)"
"06/14/2021","16:50:00.667","","Open (2)"
"06/14/2021","16:50:07.483","208.904",""
"06/14/2021","16:50:24.411","2605.004",""
"06/14/2021","16:51:06.012","6720.537",""
"06/14/2021","16:52:35.485","208.904",""
"06/14/2021","16:59:04.681","2605.004",""
"06/14/2021","17:01:41.327","6720.537",""
"06/14/2021","17:02:24.338","2605.004",""
"06/14/2021","17:02:43.711","6720.537",""
"06/14/2021","17:03:06.516","2605.004",""
"06/14/2021","17:04:07.013","6720.537",""
"06/14/2021","17:04:48.177","2605.004",""
"06/14/2021","17:05:08.220","6720.537",""
"06/14/2021","17:05:35.564","208.904",""
"06/14/2021","17:05:53.278","2605.004",""
"06/14/2021","17:06:09.323","208.904",""
"06/14/2021","17:06:27.080","2605.004",""
"06/14/2021","17:06:42.879","208.904",""
"06/14/2021","17:07:03.674","2605.004",""
"06/14/2021","17:08:13.452","6720.537",""
"06/14/2021","17:08:35.584","117715.975",""
"06/14/2021","17:10:27.101","2605.004",""
"06/14/2021","17:11:32.356","6720.537",""
"06/14/2021","17:12:16.149","2605.004",""
"06/14/2021","17:12:36.488","6720.537",""
"06/14/2021","17:50:00.668","","Open (2)"
"06/14/2021","17:59:08.576","117715.975",""
"06/14/2021","18:02:00.408","2605.004",""
"06/14/2021","18:03:02.758","6720.537",""
"06/14/2021","18:03:46.359","2605.004",""
"06/14/2021","18:04:05.875","6720.537",""
"06/14/2021","18:04:35.458","208.904",""
"06/14/2021","18:04:53.890","2605.004",""
"06/14/2021","18:06:59.332","208.904",""
"06/14/2021","18:07:16.731","2605.004",""
"06/14/2021","18:07:32.510","208.904",""
"06/14/2021","18:07:48.874","2605.004",""
"06/14/2021","18:09:56.442","208.904",""
"06/14/2021","18:10:12.229","2605.004",""
"06/14/2021","18:10:43.338","208.904",""
"06/14/2021","18:11:00.351","2605.004",""
"06/14/2021","18:15:44.685","6720.537",""
"06/14/2021","18:16:04.323","117715.975",""
"06/14/2021","18:18:51.899","2605.004",""
"06/14/2021","18:19:12.075","6720.537",""
"06/14/2021","18:19:29.704","117715.975",""
"06/14/2021","18:22:18.160","2605.004",""
"06/14/2021","18:23:20.926","6720.537",""
"06/14/2021","18:24:04.493","2605.004",""
"06/14/2021","18:24:24.079","6720.537",""
"06/14/2021","18:24:42.048","117715.975",""
"06/14/2021","18:27:25.746","6720.537",""
"06/14/2021","18:27:44.805","117715.975",""
"06/14/2021","18:30:34.232","2605.004",""
"06/14/2021","18:31:39.680","6720.537",""
"06/14/2021","18:32:23.461","2605.004",""
"06/14/2021","18:32:43.275","6720.537",""
"06/14/2021","18:33:01.893","117715.975",""
"06/14/2021","18:35:45.423","6720.537",""
"06/14/2021","18:36:04.504","117715.975",""
"06/14/2021","18:38:53.754","2605.004",""
"06/14/2021","18:39:55.953","6720.537",""
"06/14/2021","18:40:39.576","2605.004",""
"06/14/2021","18:40:59.623","6720.537",""
"06/14/2021","18:41:18.424","117715.975",""
"06/14/2021","18:43:42.697","6720.537",""
"06/14/2021","18:44:00.938","117715.975",""
"06/14/2021","18:46:44.459","6720.537",""
"06/14/2021","18:47:02.899","117715.975",""
"06/14/2021","18:49:46.561","6720.537",""
"06/14/2021","18:50:00.669","","Open (2)"
"06/14/2021","18:50:05.827","117715.975",""
"06/14/2021","18:52:49.925","6720.537",""
"06/14/2021","18:53:08.586","117715.975",""
"06/14/2021","18:55:52.553","6720.537",""
"06/14/2021","18:56:10.973","117715.975",""
"06/14/2021","18:58:54.430","6720.537",""
"06/14/2021","18:59:13.813","117715.975",""
"06/14/2021","19:02:00.247","6720.537",""
"06/14/2021","19:02:18.598","117715.975",""
"06/14/2021","19:05:02.710","6720.537",""
"06/14/2021","19:05:21.123","117715.975",""
"06/14/2021","19:08:10.338","2605.004",""
"06/14/2021","19:09:08.624","6720.537",""
"06/14/2021","19:09:49.638","2605.004",""
"06/14/2021","19:10:09.492","6720.537",""
"06/14/2021","19:10:28.221","117715.975",""
"06/14/2021","19:13:12.209","6720.537",""
"06/14/2021","19:13:31.025","117715.975",""
"06/14/2021","19:16:15.176","6720.537",""
"06/14/2021","19:16:34.233","117715.975",""
"06/14/2021","19:19:18.269","6720.537",""
"06/14/2021","19:19:37.588","117715.975",""
"06/14/2021","19:22:01.560","6720.537",""
